year,type,provinceNumber,provinceTranslate,regionNumber,province,fuel,contractCapacityMW,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2560,พพ,4,ลำปาง, 4 ,โครงการกิ่วลม,พลังงานน้ำ,0.35,39342,33522,56047,76587,2184,78078,131591,132996,132244,142263,41791,32076
2560,พพ,7,พิษณุโลก, 4 ,โครงการน้ำขะมึน,พลังงานน้ำ,1.03,24175,2640,-5430,2760,329740,574050,658380,609525,628535,648080,529260,189275
2560,พพ,11,ตาก, 4 ,โครงการห้วยแม่สอด,พลังงานน้ำ,0.66,-4250,-4680,-4320,-4670,-5230,-4950,-5070,-4870,-4560,-4040,-4280,-4410
2560,พพ,11,ตาก, 4 ,โครงการห้วยยะโม่,พลังงานน้ำ,0.85,258730,59250,28720,7170,-1930,224670,550860,575010,530450,613460,522740,368410
2560,พพ,37,ชัยภูมิ, 2 ,โครงการห้วยประทาว,พลังงานน้ำ,4.5,1449700,1312500,2346800,2147400,1695800,2698000,2778700,2912500,2823000,2877900,1665800,2797200
2560,พพ,35,นครราชสีมา, 2 ,โครงการลำพระเพลิง,พลังงานน้ำ,0.85,-10720,-5850,-6590,-4900,67730,19340,-13260,-7220,-6470,-6450,-6000,-6590
2560,พพ,64,ตรัง, 3 ,โครงการคลองลำปลอก,พลังงานน้ำ,1.182,339770,284620,337740,339110,343320,291880,272130,444680,439330,414160,390620,334250
2560,พพ,71,พัทลุง, 3 ,โครงการห้วยลำสินธุ์,พลังงานน้ำ,0.958,-3350,-3330,-4570,-4040,-4960,-4550,-4340,144530,204930,111230,175670,-3640
2560,พพ,72,สตูล, 3 ,โครงการคลองดุสน,พลังงานน้ำ,0.68,253950,250060,229720,206540,182250,204230,128880,231970,196780,311810,247370,304940
2560,พพ,74,นราธิวาส, 3 ,โครงการไอกาเปาะ,พลังงานน้ำ,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2559,Adder,65,กระบี่, 3 ,กระบี่,ชีวภาพ,26.051,2437485,4405383,6518325,5427958,4857722,3965345,2996338,4433299,4487906,3964319,4714176,3591497
2559,Adder,65,กระบี่, 3 ,กระบี่,ชีวมวล,1,5763681,7098006,2144998,33012,25578,18216,54,108,18,18,0,0
2559,Adder,65,กระบี่, 3 ,กระบี่,พลังงานแสงอาทิตย์,0.00688,129,134,88,100,354,413,229,194,194,163,154,76
2559,Adder,56,กาญจนบุรี, 7 ,กาญจนบุรี,ชีวภาพ,12.98,1781233,2127244,3257423,2376633,2870413,2774956,1823391,3199269,3312219,3199041,3283817,2878236
2559,Adder,56,กาญจนบุรี, 7 ,กาญจนบุรี,ชีวมวล,0,10464842,10282883,8182941,0,0,0,0,0,0,0,0,0
2559,Adder,56,กาญจนบุรี, 7 ,กาญจนบุรี,พลังงานแสงอาทิตย์,50.94,7101725,6758016,7119942,7992907,7432005,6479785,6560044,6604704,6227611,6532259,6473717,6443401
2559,Adder,56,กาญจนบุรี, 7 ,กาญจนบุรี,โคเจน,15,2384000,2899572,1424800,1321600,1654600,2916181,3224000,2647200,3140200,3947600,3264400,2918200
2559,Adder,31,กาฬสินธุ์, 2 ,กาฬสินธุ์,ชีวภาพ,9.773,2417001,3979513,4045585,529260,954460,1105200,617580,3555585,3383365,4082181,2827617,2887300
2559,Adder,31,กาฬสินธุ์, 2 ,กาฬสินธุ์,ชีวมวล,16,6074015,7497633,4538887,1097760,304160,2372480,2020320,0,0,0,3040,0
2559,Adder,31,กาฬสินธุ์, 2 ,กาฬสินธุ์,พลังงานแสงอาทิตย์,2.885,434131,528941,493812,500060,501384,442111,395469,469289,408862,489868,502435,488335
2559,Adder,10,กำแพงเพชร, 4 ,กำแพงเพชร,ขยะ,0.2,37944,48472,47544,13972,35220,14444,6212,18208,9784,0,0,22464
2559,Adder,10,กำแพงเพชร, 4 ,กำแพงเพชร,ชีวภาพ,1.932,298320,313640,341020,136480,388560,52980,0,0,0,120700,194840,485860
2559,Adder,10,กำแพงเพชร, 4 ,กำแพงเพชร,ชีวมวล,0,21146761,21281572,7318990,0,0,0,0,0,0,0,0,0
2559,Adder,10,กำแพงเพชร, 4 ,กำแพงเพชร,พลังงานแสงอาทิตย์,32,5033760,5197440,5466960,5642040,5422800,4787880,4742760,4668240,4448275,5412840,4991760,5081760
2559,Adder,20,ขอนแก่น, 2 ,ขอนแก่น,ขยะ,4.5,0,0,0,0,0,0,0,0,0,0,143015,2257459
2559,Adder,20,ขอนแก่น, 2 ,ขอนแก่น,ชีวภาพ,1.18,56640,14760,3240,89040,51120,178193,84120,76200,53760,52080,173280,54344
2559,Adder,20,ขอนแก่น, 2 ,ขอนแก่น,ชีวมวล,8.18,14934719,21138431,10968623,4791234,5706454,2474040,3464800,5856178,5728718,5647782,1898988,5520431
2559,Adder,20,ขอนแก่น, 2 ,ขอนแก่น,พลังงานแสงอาทิตย์,66.786,10015890,11415359,11274000,10777760,11037956,9594560,9981583,10125655,8962642,10254014,10814607,10958769
2559,Adder,48,จันทบุรี, 6 ,จันทบุรี,ชีวภาพ,5.915,2301600,2548280,2025880,1477040,410080,0,280,0,533920,1333600,293600,2059640
2559,Adder,51,ฉะเชิงเทรา, 6 ,ฉะเชิงเทรา,ขยะ,2.4,455400,500280,459480,502720,1413560,532400,574600,875400,1102120,1007720,1286160,1323960
2559,Adder,51,ฉะเชิงเทรา, 6 ,ฉะเชิงเทรา,ชีวภาพ,1,20640,35344,76814,149940,47220,0,0,188160,157491,119678,148409,62700
2559,Adder,51,ฉะเชิงเทรา, 6 ,ฉะเชิงเทรา,ชีวมวล,1.8,0,0,0,0,0,0,0,0,0,0,0,0
2559,Adder,51,ฉะเชิงเทรา, 6 ,ฉะเชิงเทรา,พลังงานแสงอาทิตย์,1.36,155622,153858,162966,167091,157261,136764,137070,148331,138101,131605,141640,127016
2559,Adder,47,ชลบุรี, 6 ,ชลบุรี,ชีวภาพ,4.55,3240,450160,91720,104520,2400,21420,24040,152620,75200,180,366100,678480
2559,Adder,47,ชลบุรี, 6 ,ชลบุรี,ชีวมวล,9,5468858,7523051,6901171,0,0,0,0,0,0,0,1860,1323500
2559,Adder,47,ชลบุรี, 6 ,ชลบุรี,พลังงานแสงอาทิตย์,32.0054,4455516,4923074,5163457,5176668,4590894,4152049,4227503,4511680,3860370,3969403,4942756,4693409
2559,Adder,17,ชัยนาท, 4 ,ชัยนาท,ชีวภาพ,0.99,59680,74600,95120,81500,95500,130560,126860,129340,93740,76520,75580,84820
2559,Adder,17,ชัยนาท, 4 ,ชัยนาท,ชีวมวล,0,1333435,1280246,178019,0,0,0,0,0,0,0,0,0
2559,Adder,17,ชัยนาท, 4 ,ชัยนาท,พลังงานแสงอาทิตย์,6.5,930080,961520,972800,1005440,958640,850960,902320,929520,895360,941360,921840,939760
2559,Adder,37,ชัยภูมิ, 2 ,ชัยภูมิ,ชีวภาพ,3.6,1037970,1781940,1691820,967890,399030,37260,340530,1471260,1008420,854400,522360,822210
2559,Adder,37,ชัยภูมิ, 2 ,ชัยภูมิ,ชีวมวล,6.2,969456,2514680,3130480,849920,0,0,0,0,0,0,0,1348000
2559,Adder,37,ชัยภูมิ, 2 ,ชัยภูมิ,พลังงานลม,6.9,903060,1943298,1408793,1184240,722153,874560,677520,1045892,601680,632206,1529385,2344154
2559,Adder,37,ชัยภูมิ, 2 ,ชัยภูมิ,พลังงานแสงอาทิตย์,46.5,7442474,8448691,8729612,8752186,8160665,7508907,7867637,8026624,7006783,7754252,8044778,8152456
2559,Adder,61,ชุมพร, 3 ,ชุมพร,ชีวภาพ,13.82,550220,1326651,1810497,1671280,2238860,2097620,1629140,1866760,1983159,2093060,1947300,1803340
2559,Adder,61,ชุมพร, 3 ,ชุมพร,ชีวมวล,0,4035763,5236471,1792518,0,0,0,0,0,0,0,0,0
2559,Adder,64,ตรัง, 3 ,ตรัง,ชีวภาพ,5.972,255600,756924,994314,1119792,915402,548550,674988,922554,925884,673350,436878,611568
2559,Adder,64,ตรัง, 3 ,ตรัง,ชีวมวล,0,299340,557190,429241,0,0,0,0,0,0,0,0,0
2559,Adder,64,ตรัง, 3 ,ตรัง,พลังงานแสงอาทิตย์,0.0095,799,516,435,647,435,409,394,406,426,409,432,392
2559,Adder,11,ตาก, 4 ,ตาก,ขยะ,0.35,161864,71530,48823,135739,201317,153567,142314,163740,49047,11518,73301,104945
2559,Adder,11,ตาก, 4 ,ตาก,ชีวภาพ,0.95,283660,354140,251460,178060,251760,79060,0,0,0,14600,76380,37780
2559,Adder,11,ตาก, 4 ,ตาก,ชีวมวล,0,2795160,0,0,0,0,0,0,0,0,0,0,0
2559,Adder,11,ตาก, 4 ,ตาก,พลังงานแสงอาทิตย์,21.25,3471840,3418400,3616640,3700880,3420480,2552040,2828960,2537360,2842480,3359916,3240000,3214640
